label,source_value,paper_value,tolerance,status
tab:contam s1_in_distribution inflation,0.04878439711837523,0.0488,0.0006,ok
tab:contam s2_unseen_generator train,0.8835986303074308,0.8836,0.0006,ok
tab:contam s2_unseen_generator test,0.8253121786663562,0.8253,0.0006,ok
tab:contam s2_unseen_generator inflation,0.0582864516410746,0.0583,0.0006,ok
tab:contam s3_unseen_language train,0.8856695698709554,0.8857,0.0006,ok
tab:contam s3_unseen_language test,0.8343988045241785,0.8344,0.0006,ok
tab:contam s3_unseen_language inflation,0.05127076534677688,0.0513,0.0006,ok
tab:contam s4_unseen_domain train,0.9121651948497461,0.9122,0.0006,ok
tab:contam s4_unseen_domain test,0.725442350216857,0.7254,0.0006,ok
tab:contam s4_unseen_domain inflation,0.18672284463288913,0.1867,0.0006,ok
tab:contam s5_compound train,0.8658189302606778,0.8658,0.0006,ok
tab:contam s5_compound test,0.6887672064761249,0.6888,0.0006,ok
tab:contam s5_compound inflation,0.17705172378455292,0.1771,0.0006,ok
tab:exposure microsoft rows,56756,56756.0,0.6,ok
tab:exposure microsoft share,6.704000000000001,6.7,0.006,ok
tab:exposure mistralai rows,2828,2828.0,0.6,ok
tab:exposure mistralai share,0.334,0.33,0.006,ok
tab:exposure go rows,54194,54194.0,0.6,ok
tab:exposure go share,6.4014,6.4,0.006,ok
tab:exposure javascript rows,76232,76232.0,0.6,ok
tab:exposure javascript share,9.0045,9.0,0.006,ok
tab:exposure thevaultclass rows,68295,68295.0,0.6,ok
tab:exposure thevaultclass share,8.067,8.07,0.006,ok
tab:exposure thevaultinline rows,71073,71073.0,0.6,ok
tab:exposure thevaultinline share,8.3951,8.4,0.006,ok
tab:exposure arxiv rows,780,780.0,0.6,ok
tab:exposure arxiv share,0.0921,0.09,0.006,ok
tab:baselines s1_in_distribution uniform,0.21841094870150013,0.2184,0.0006,ok
tab:baselines s1_in_distribution stratified,0.24999999999999997,0.25,0.0006,ok
tab:baselines s1_in_distribution majority,0.14690446438714075,0.1469,0.0006,ok
tab:baselines s1_in_distribution branch_a,0.8976745329305021,0.8977,0.0006,ok
tab:baselines s2_unseen_generator uniform,0.22331644970413803,0.2233,0.0006,ok
tab:baselines s2_unseen_generator stratified,0.25,0.25,0.0006,ok
tab:baselines s2_unseen_generator majority,0.16654485211713688,0.1665,0.0006,ok
tab:baselines s2_unseen_generator branch_a,0.8685149127043924,0.8685,0.0006,ok
tab:baselines s3_unseen_language uniform,0.21915378905683933,0.2192,0.0006,ok
tab:baselines s3_unseen_language stratified,0.25,0.25,0.0006,ok
tab:baselines s3_unseen_language majority,0.15511802392146354,0.1551,0.0006,ok
tab:baselines s3_unseen_language branch_a,0.5667177563908041,0.5667,0.0006,ok
tab:baselines s4_unseen_domain uniform,0.2261534252622868,0.2262,0.0006,ok
tab:baselines s4_unseen_domain stratified,0.25,0.25,0.0006,ok
tab:baselines s4_unseen_domain majority,0.1610484429892694,0.161,0.0006,ok
tab:baselines s4_unseen_domain branch_a,0.40289540639502763,0.4029,0.0006,ok
tab:baselines s5_compound uniform,0.22148897537178955,0.2215,0.0006,ok
tab:baselines s5_compound stratified,0.25,0.25,0.0006,ok
tab:baselines s5_compound majority,0.15858453473132372,0.1586,0.0006,ok
tab:baselines s5_compound branch_a,0.23778553105715772,0.2378,0.0006,ok
tab:matched s1_in_distribution original,0.8976745329305021,0.8977,0.0006,ok
tab:matched s1_in_distribution matched,0.9463169308045339,0.9463,0.0006,ok
tab:matched s1_in_distribution delta,0.048642397874031795,0.0486,0.0006,ok
tab:matched s2_unseen_generator original,0.8685149127043924,0.8685,0.0006,ok
tab:matched s2_unseen_generator matched,0.8710974857526586,0.8711,0.0006,ok
tab:matched s2_unseen_generator delta,0.0025825730482661458,0.0026,0.0006,ok
tab:matched s3_unseen_language original,0.5667177563908041,0.5667,0.0006,ok
tab:matched s3_unseen_language matched,0.5736283526389427,0.5736,0.0006,ok
tab:matched s3_unseen_language delta,0.006910596248138612,0.0069,0.0006,ok
tab:matched s4_unseen_domain original,0.40289540639502763,0.4029,0.0006,ok
tab:matched s4_unseen_domain matched,0.39195355463286585,0.392,0.0006,ok
tab:matched s4_unseen_domain delta,-0.01094185176216178,-0.0109,0.0006,ok
tab:matched s5_compound original,0.23778553105715772,0.2378,0.0006,ok
tab:matched s5_compound matched,0.27658162255367896,0.2766,0.0006,ok
tab:matched s5_compound delta,0.038796091496521246,0.0388,0.0006,ok
tab:twin s1_in_distribution rows,31041,31041.0,0.5,ok
tab:twin s1_in_distribution d1small,0.8852,0.8852,0.0006,ok
tab:twin s1_in_distribution d2,0.8852,0.8852,0.0006,ok
tab:twin s1_in_distribution difference,0.0,0.0,0.0006,ok
tab:twin s2_unseen_generator rows,30344,30344.0,0.5,ok
tab:twin s2_unseen_generator d1small,0.8472,0.8472,0.0006,ok
tab:twin s2_unseen_generator d2,0.8672,0.8672,0.0006,ok
tab:twin s2_unseen_generator difference,0.02,0.02,0.0006,ok
tab:twin s3_unseen_language rows,26936,26936.0,0.5,ok
tab:twin s3_unseen_language d1small,0.5723,0.5723,0.0006,ok
tab:twin s3_unseen_language d2,0.8154,0.8154,0.0006,ok
tab:twin s3_unseen_language difference,0.2431,0.2431,0.0006,ok
tab:twin s4_unseen_domain rows,27100,27100.0,0.5,ok
tab:twin s4_unseen_domain d1small,0.3974,0.3974,0.0006,ok
tab:twin s4_unseen_domain d2,0.7891,0.7891,0.0006,ok
tab:twin s4_unseen_domain difference,0.3917,0.3917,0.0006,ok
tab:twin s5_compound rows,4168,4168.0,0.5,ok
tab:twin s5_compound d1small,0.2749,0.2749,0.0006,ok
tab:twin s5_compound d2,0.6193,0.6193,0.0006,ok
tab:twin s5_compound difference,0.3444,0.3444,0.0006,ok
tab:shift none (uncorrected) macro_f1,0.23778553105715772,0.2378,0.0012,ok
tab:shift none (uncorrected) human_fpr,0.8228305785123967,0.8228,0.0012,ok
tab:shift oracle priors macro_f1,0.23671595097124748,0.2367,0.0012,ok
tab:shift oracle priors human_fpr,0.8212809917355371,0.8213,0.0012,ok
tab:shift oracle temperature + priors macro_f1,0.23836912892510054,0.2384,0.0012,ok
"tab:shift threshold refit, k=10 macro_f1",0.23781296872937902,0.2378,0.0012,ok
"tab:shift threshold refit, k=10 human_fpr",0.2412399717976831,0.2412,0.0012,ok
"tab:shift threshold refit, k=100 macro_f1",0.2378430638347458,0.2378,0.0012,ok
"tab:shift threshold refit, k=100 human_fpr",0.026469954589507412,0.0265,0.0012,ok
tab:augment s1_in_distribution augmented,0.8819,0.8819,0.0006,ok
tab:augment s1_in_distribution reference,0.8977,0.8977,0.0006,ok
tab:augment s1_in_distribution delta,-0.015800000000000036,-0.0158,0.0006,ok
tab:augment s2_unseen_generator augmented,0.8575,0.8575,0.0006,ok
tab:augment s2_unseen_generator reference,0.8685,0.8685,0.0006,ok
tab:augment s2_unseen_generator delta,-0.01100000000000001,-0.011,0.0006,ok
tab:augment s3_unseen_language augmented,0.5518,0.5518,0.0006,ok
tab:augment s3_unseen_language reference,0.5667,0.5667,0.0006,ok
tab:augment s3_unseen_language delta,-0.014900000000000024,-0.0149,0.0006,ok
tab:augment s4_unseen_domain augmented,0.3588,0.3588,0.0006,ok
tab:augment s4_unseen_domain reference,0.4029,0.4029,0.0006,ok
tab:augment s4_unseen_domain delta,-0.04409999999999997,-0.0441,0.0006,ok
