label,source_value,paper_value,tolerance,status
tab:seeds seed1 s2_unseen_generator,0.8708,0.8708,0.0006,ok
tab:seeds seed1 s3_unseen_language,0.5752,0.5752,0.0006,ok
tab:seeds seed1 s4_unseen_domain,0.4092,0.4092,0.0006,ok
tab:seeds seed1 s5_compound,0.2596,0.2596,0.0006,ok
tab:seeds seed2 s1_in_distribution,0.8917,0.8917,0.0006,ok
tab:seeds seed2 s2_unseen_generator,0.8633,0.8633,0.0006,ok
tab:seeds seed2 s3_unseen_language,0.5489,0.5489,0.0006,ok
tab:seeds seed2 s4_unseen_domain,0.3997,0.3997,0.0006,ok
tab:seeds seed2 s5_compound,0.2553,0.2553,0.0006,ok
tab:seeds mean s1_in_distribution,0.8946,0.8946,0.0006,ok
tab:seeds mean s2_unseen_generator,0.8677,0.8677,0.0006,ok
tab:seeds mean s3_unseen_language,0.5695,0.5695,0.0006,ok
tab:seeds mean s4_unseen_domain,0.3977,0.3977,0.0006,ok
tab:seeds mean s5_compound,0.2555,0.2555,0.0006,ok
tab:seeds sd s1_in_distribution,0.003,0.003,0.0006,ok
tab:seeds sd s2_unseen_generator,0.0025,0.0025,0.0006,ok
tab:seeds sd s3_unseen_language,0.0118,0.0118,0.0006,ok
tab:seeds sd s4_unseen_domain,0.0083,0.0083,0.0006,ok
tab:seeds sd s5_compound,0.0129,0.0129,0.0006,ok
tab:independent macro-f1,0.32243239699785436,0.3224,0.0006,ok
tab:independent binary auc,0.655644288749445,0.6556,0.0006,ok
tab:independent human false-accusation,0.48403001071811363,0.484,0.0006,ok
tab:independent human f1,0.6032581453634085,0.6033,0.0006,ok
tab:independent machine f1,0.3510167992926614,0.351,0.0006,ok
tab:independent hybrid f1,0.013022246337493217,0.013,0.0006,ok
tab:independent detected: llama,0.6909581646423751,0.691,0.0006,ok
tab:independent detected: codestral,0.6768558951965066,0.6769,0.0006,ok
tab:independent detected: gemini,0.5647727272727273,0.5648,0.0006,ok
tab:transforms rename_identifiers applied,99.98,100.0,0.06,ok
tab:transforms rename_identifiers aggregate,-0.39344305548864644,-0.3934,0.0006,ok
tab:transforms rename_identifiers conditional,-0.3935630904584785,-0.3936,0.0006,ok
tab:transforms rename_identifiers break,12.392478495699145,12.39,0.06,ok
tab:transforms rename_identifiers conditional_parsing,-0.39710749305686,-0.3971,0.0006,ok
tab:transforms strip_comments applied,81.19,81.2,0.06,ok
tab:transforms strip_comments aggregate,-0.3461263873336922,-0.3461,0.0006,ok
tab:transforms strip_comments conditional,-0.36493128406615183,-0.3649,0.0006,ok
tab:transforms strip_comments break,1.4164305949008527,1.42,0.06,ok
tab:transforms strip_comments conditional_parsing,-0.362295950148599,-0.3623,0.0006,ok
tab:transforms whitespace applied,85.54,85.5,0.06,ok
tab:transforms whitespace aggregate,-0.3175296456433965,-0.3175,0.0006,ok
tab:transforms whitespace conditional,-0.3359746656064505,-0.336,0.0006,ok
tab:transforms whitespace break,1.2625672200140325,1.26,0.06,ok
tab:transforms whitespace conditional_parsing,-0.33343516353734587,-0.3334,0.0006,ok
tab:transforms dead_code applied,100.0,100.0,0.06,ok
tab:transforms dead_code aggregate,-0.16888479020590796,-0.1689,0.0006,ok
tab:transforms dead_code conditional,-0.16888479020590796,-0.1689,0.0006,ok
tab:transforms dead_code break,1.1199999999999988,1.12,0.06,ok
tab:transforms dead_code conditional_parsing,-0.1802809946171915,-0.1803,0.0006,ok
tab:transforms compress_blanks applied,5.66,5.7,0.06,ok
tab:transforms compress_blanks aggregate,-0.001995613957142761,-0.002,0.0006,ok
tab:transforms compress_blanks conditional,-0.03992892966359429,-0.0399,0.0006,ok
tab:transforms compress_blanks break,4.770318021201414,4.77,0.06,ok
tab:transforms compress_blanks conditional_parsing,-0.04361429957665286,-0.0436,0.0006,ok
